period;position;party;name;n.position;interval;date;month;check;dupes;check2
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;NA;NA;1997-11-01;1; 847;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;Dr. HASAN MURATOVIĆ;1;date.end;1997-12-23;1997-12-01;1; 848;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;date.start;1998-01-01;1998-01-01;1; 849;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1998-02-01;1; 850;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1998-03-01;1; 851;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1998-04-01;1; 852;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1998-05-01;1; 853;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1998-06-01;1; 854;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1998-07-01;1; 855;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1998-08-01;1; 856;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1998-09-01;1; 857;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1998-10-01;1; 858;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1998-11-01;1; 859;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1998-12-01;1; 860;0
RAZDOBLJE 1996. – 1998. godine;Foreign Trade and Economic Relations;SDA;MIRSAD KURTOVIĆ;2;NA;NA;1999-01-01;1; 861;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;date.start;1999-02-03;1999-02-01;4;  26;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;1999-03-01;2;  27;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;1999-04-01;2;  28;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;1999-05-01;2;  29;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;1999-06-01;2;  30;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;1999-07-01;2;  31;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;1999-08-01;2;  32;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;1999-09-01;2;  33;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;1999-10-01;2;  34;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;1999-11-01;2;  35;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;1999-12-01;2;  36;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;2000-01-01;2;  37;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;2000-02-01;2;  38;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;2000-03-01;2;  39;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;NA;NA;2000-04-01;2;  40;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;1;date.end;2000-05-05;2000-05-01;2;  41;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;date.start;1999-02-03;1999-02-01;4;  26;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;1999-03-01;2;  27;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;1999-04-01;2;  28;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;1999-05-01;2;  29;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;1999-06-01;2;  30;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;1999-07-01;2;  31;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;1999-08-01;2;  32;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;1999-09-01;2;  33;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;1999-10-01;2;  34;0
