id;value;id2
"c(""131073_1.png"", ""131073_2.png"")";131073_1.png;131073
"c(""131073_1.png"", ""131073_2.png"")";131073_2.png;131073
"c(""131074_1.png"", ""131074_2.png"")";131074_1.png;131074
"c(""131074_1.png"", ""131074_2.png"")";131074_2.png;131074
"c(""131075_1.png"", ""131075_2.png"")";131075_1.png;131075
"c(""131075_1.png"", ""131075_2.png"")";131075_2.png;131075
"c(""131076_1.png"", ""131076_2.png"")";131076_1.png;131076
"c(""131076_1.png"", ""131076_2.png"")";131076_2.png;131076
"c(""131077_1.png"", ""131077_2.png"")";131077_1.png;131077
"c(""131077_1.png"", ""131077_2.png"")";131077_2.png;131077
"c(""131080_1.png"", ""131080_2.png"")";131080_1.png;131080
"c(""131080_1.png"", ""131080_2.png"")";131080_2.png;131080
"c(""131081_1.png"", ""131081_2.png"")";131081_1.png;131081
"c(""131081_1.png"", ""131081_2.png"")";131081_2.png;131081
131601_1.png;131601_1.png;131601
131603_1.png;131603_1.png;131603
131616_1.png;131616_1.png;131616
131624_1.png;131624_1.png;131624
131629_1.png;131629_1.png;131629
131630_1.png;131630_1.png;131630
131631_1.png;131631_1.png;131631
"c(""132320_1.png"", ""132320_2.png"")";132320_1.png;132320
"c(""132320_1.png"", ""132320_2.png"")";132320_2.png;132320
"c(""132323_1.png"", ""132323_2.png"")";132323_1.png;132323
"c(""132323_1.png"", ""132323_2.png"")";132323_2.png;132323
"c(""132385_1.png"", ""132385_2.png"")";132385_1.png;132385
"c(""132385_1.png"", ""132385_2.png"")";132385_2.png;132385
133523_1.png;133523_1.png;133523
133525_1.png;133525_1.png;133525
133526_1.png;133526_1.png;133526
133527_1.png;133527_1.png;133527
133528_1.png;133528_1.png;133528
133529_1.png;133529_1.png;133529
133530_1.png;133530_1.png;133530
133531_1.png;133531_1.png;133531
133532_1.png;133532_1.png;133532
133533_1.png;133533_1.png;133533
133534_1.png;133534_1.png;133534
133538_1.png;133538_1.png;133538
"c(""134867_1.png"", ""134867_2.png"")";134867_1.png;134867
"c(""134867_1.png"", ""134867_2.png"")";134867_2.png;134867
"c(""134877_1.png"", ""134877_2.png"")";134877_1.png;134877
"c(""134877_1.png"", ""134877_2.png"")";134877_2.png;134877
"c(""134895_1.png"", ""134895_2.png"")";134895_1.png;134895
"c(""134895_1.png"", ""134895_2.png"")";134895_2.png;134895
"c(""134899_1.png"", ""134899_2.png"")";134899_1.png;134899
