PID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,check,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3
1730,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,83,Bosanska Kostajnica,ok,,Srpska Kostajnica,Opcine,Commune
1752,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,14,Doboj,105,Bosanski Brod,ok,,Srpski Brod,Opcine,Commune
484,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,9,Una-Sana,59,Bosanski Petrovac,ok,,,Opcine,Commune
1767,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,16,Istocno Sarajevo,120,East New Sarajevo,ok,,Lukavica| Istocno Novo Sarajevo| Srpsko Novo Sarajevo,Opcine,Commune
1679,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,16,Gornji Vakuf-Uskoplje,ok,,,Opcine,Commune
1769,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,16,Istocno Sarajevo,122,Istocna IlidÅ_a,ok,,,Opcine,Commune
1732,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,85,Istocni Drvar,ok,,Srpski Drvar,Opcine,Commune
1770,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,16,Istocno Sarajevo,123,Istocni Stari Grad,ok,,,Opcine,Commune
1779,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,17,Trebinje,132,Mostar (RS),,,,Opcine,Commune
1690,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,5,Herzegovina-Neretva,27,Mostar (FBiH),,,,Opcine,Commune
1739,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,92,Novi Grad,ok,,,Opcine,Commune
1702,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,7,Sarajevo,39,Novi Grad Sarajevo,ok,,,Opcine,Commune
1764,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,15,Foca,117,Novo GoraÅ_de,ok,,Srpsko GoraÅ_de,Opcine,Commune
1784,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,18,Vlasenica,137,Osmaci,ok,,,Opcine,Commune
1740,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,93,OÅçtra Luka,ok,,Srpski Sanski Most,Opcine,Commune
1757,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,14,Doboj,110,Pelagicevo,ok,,,Opcine,Commune
1741,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,94,Petrovac,ok,,,Opcine,Commune
1758,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,14,Doboj,111,Petrovo,ok,,,Opcine,Commune
1760,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,14,Doboj,113,Vukosavlje,ok,,,Opcine,Commune
