year,district.name,district.id,party.code,party,total,votes.redovni,votes.postom,votes.odsustvo.mobilni.tim,votes.potvrdeni,percentage,seats,minority,minority.elected
2012,Samac,21,74,SOCIJALISTICKA PARTIJA,568,568,0,0,0,"6,03",2,,
2012,Samac,21,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,530,530,0,0,0,"5,62",2,,
2012,Samac,21,1003,NEZAVISNA STRANKA DR MIHAJLO TOVIRAC,527,526,1,0,0,"5,59",1,,
2012,Samac,21,90,SDA-STRANKA DEMOKRATSKE AKCIJE,301,272,26,3,0,"3,19",1,,
2012,Samac,21,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,189,86,99,1,3,"2,01",0,,
2012,Samac,21,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,137,128,6,3,0,"1,45",0,,
2012,Samac,21,279,PARTIJA UJEDINJENIH PENZIONERA,113,113,0,0,0,"1,20",0,,
2012,Samac,21,734,HSP BIH - HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE,111,52,59,0,0,"1,18",0,,
2012,Samac,21,16,SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE,54,54,0,0,0,"0,57",0,,
2012,Samac,21,732,SRPSKA RADIKALNA STRANKA DR VOJISLAV SESELJ,44,44,0,0,0,"0,47",0,,
2012,Orasje,22,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,3331,3291,5,35,0,"39,58",10,,
