year,district.name,district.id,party,votes.redovni,votes.postom,votes.odsustvo.mobilni.tim,votes.potvrdeni,seats,minority,minority.elected
2008,Bosanska Gradiska / Gradiska,10,Srpska Radikalna Stranka Republike Srpske,267,2,0,0,0,,
2008,Bosanska Gradiska / Gradiska,10,Narodna Demokratska Stranka,144,0,0,0,0,,
2008,Bosanska Gradiska / Gradiska,10,Srpska Radikalna Stranka Dr. Vojislav Seselj,114,0,0,0,0,,
2008,Bosanska Gradiska / Gradiska,10,Nasa Stranka,63,14,0,0,0,,
2008,Bosanska Gradiska / Gradiska,10,Ranko Bakic,69,0,0,0,0,,
2008,Bosanska Gradiska / Gradiska,10,Hrvatska Demokratska Zajednica 1990,30,6,0,0,0,,
2008,Bosanska Gradiska / Gradiska,10,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,176,,,,1,y,y
2008,Bosanska Gradiska / Gradiska,10,Nezvisni Kandidat,69,,,,0,y,n
2008,Bosanska Gradiska / Gradiska,10,Penzionerska Stranka Republike Strpske,19,,,,0,y,n
2008,Laktasi,11,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,9074,2,26,4,18,,
2008,Laktasi,11,Srpska Demokratska Stranka,2089,1,4,2,4,,
2008,Laktasi,11,Partija Demokratskog Progresa,611,0,1,0,1,1,
2008,Laktasi,11,Socijalisticka Partija,577,0,3,0,1,,
2008,Laktasi,11,Srpska Radikalna Stranka Republike Srpske,237,1,0,2,0,,
2008,Laktasi,11,Narodna Stranka Radom za Boljitak,213,0,0,1,0,,
2008,Laktasi,11,Hrvatska Demokratska Zajednica 1990,25,33,0,0,0,,
2008,Laktasi,11,Demokratska Narodna Zajednica BiH,14,0,0,0,0,,
2008,Laktasi,11,Socijalisticka Partija,30,,,,1,y,y
2008,Laktasi,11,Politicki Pokret Mladih - Stranka Mladih Bosne i Hercegovine,17,,,,0,y,n
2008,Laktasi,11,Nezavisna Lista BiH,13,,,,0,y,n
2008,Srbac,12,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,5998,0,10,6,13,,
2008,Srbac,12,Srpska Demokratska Stranka,2020,0,3,5,4,,
2008,Srbac,12,Partija Demokratskog Progresa,853,0,2,1,2,,
2008,Srbac,12,Narodna Demokratska Stranka,706,0,1,0,1,,
2008,Srbac,12,Demokratski Narodni Savez,538,2,1,0,1,,
2008,Srbac,12,Gradanska Partija Napretka,211,0,0,0,0,,
2008,Srbac,12,Srpska Radikalna Stranka Republike Srpske,159,0,0,0,0,,
2008,Srbac,12,Srpska Radikalna Stranka Dr. Vojislav Seselj,118,0,0,0,0,,
2008,Srbac,12,Narodna Stranka Radom za Boljitak,69,0,0,0,0,,
2008,Prnjavor,13,Srpska Demokratska Stranka,6376,3,5,4,12,,
2008,Prnjavor,13,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,5545,12,10,15,11,,
2008,Prnjavor,13,Partija Demokratskog Progresa,1252,0,2,0,2,,
2008,Prnjavor,13,Srpska Radikalna Stranka Dr. Vojislav Seselj,766,0,2,1,1,,
2008,Prnjavor,13,Srpska Radikalna Stranka Republike Srpske,786,0,0,3,1,,
2008,Prnjavor,13,Demokratski Narodni Savez,683,0,0,1,1,,
2008,Prnjavor,13,Savez SDA-S BiH,588,38,7,2,1,,
2008,Prnjavor,13,Pokret za Prnjavor,595,4,3,1,1,,
2008,Prnjavor,13,Penzionerska Stranka Republike Strpske,353,0,1,3,0,,
2008,Prnjavor,13,Ilova,344,1,0,0,0,,
2008,Prnjavor,13,Socijalisticka Partija,342,0,0,0,0,,
2008,Prnjavor,13,Lista Nezavisnih Kandidata Opstine Prnjavor,320,0,1,0,0,,
2008,Prnjavor,13,Stranka Biznisa Srpske,297,2,0,0,0,,
2008,Prnjavor,13,Socijaldemokratska Partija Bosne i Hercegovine,272,8,2,0,0,,
2008,Prnjavor,13,Nedeljko Debeljak,131,0,0,0,0,,
2008,Prnjavor,13,Partija Socijalne Pravde,127,0,0,0,0,,
2008,Prnjavor,13,Ljubomir Jugovic,124,0,1,0,0,,
2008,Prnjavor,13,Lista Nezavisnih Kandidata - Prnjavo rMala Evropa,79,1,1,0,0,,
2008,Prnjavor,13,Hrvatska Demokratska Zajednica 1990,6,2,0,0,0,,
2008,Prnjavor,13,Udruzenje Udruzene Porodice Stivor Nezavisni Kandidat,58,,,,1,y,y
2008,Prnjavor,13,Nezavisni Kandidat,52,,,,0,y,n
2008,Prnjavor,13,Socijaldemokratska Partija Bosne i Hercegovine,18,,,,0,y,n
2008,Prnjavor,13,Srpska Radikalna Stranka Dr. Vojislav Seselj,13,,,,0,y,n
2008,Derventa,14,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,4023,71,33,3,8,,
2008,Derventa,14,Srpska Demokratska Stranka,3684,4,40,8,8,,
2008,Derventa,14,"Hrvatska Koalicija - HDZBiH, HSS-NHI, HDZ 1990",429,1466,3,77,4,,
2008,Derventa,14,Partija Demokratskog Progresa,1555,0,9,2,3,,
2008,Derventa,14,Socijalisticka Partija - Penzionerska Stranka Republike Srpske,707,1,8,0,1,,
2008,Derventa,14,Socijaldemokratska Partija Bosne i Hercegovine,431,58,19,8,1,,
2008,Derventa,14,Demokratska Stranka Naroda Srpske,475,1,0,0,1,,
2008,Derventa,14,Srpska Stranka Republike Srpske,459,0,3,0,1,,
2008,Derventa,14,Demokratski Narodni Savez,276,3,0,0,0,,
2008,Derventa,14,Srpska Radikalna Stranka Republike Srpske,265,0,1,0,0,,
2008,Derventa,14,Savez SDA-S BiH,224,23,11,1,0,,
2008,Derventa,14,Srpska Radikalna Stranka Dr. Vojislav Seselj,220,1,1,0,0,,
2008,Derventa,14,Za Dostojanstvo i Prosperitet,174,0,1,2,0,,
2008,Derventa,14,Narodna Demokratska Stranka,111,0,1,2,0,,
2008,Derventa,14,Srpska Napredna Stranak Republike Srpske,98,3,1,0,0,,
2008,Derventa,14,Narodna Stranka Radom za Boljitak,19,0,0,0,0,,
2008,Bosanski Brod / Brod,16,"Hrvatska Koalicija - HDZBiH, HSS-NHI, HDZ 1990",146,1288,2,13,4,,
2008,Bosanski Brod / Brod,16,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,1312,1,8,0,4,,
2008,Bosanski Brod / Brod,16,Socijalisticka Partija,1209,14,10,2,4,,
2008,Bosanski Brod / Brod,16,Srpska Demokratska Stranka,809,1,9,1,3,,
2008,Bosanski Brod / Brod,16,Partija Demokratskog Progresa,792,2,15,0,3,,
2008,Bosanski Brod / Brod,16,Narodna Stranka (Pokret za Brod),547,0,7,0,2,,
2008,Bosanski Brod / Brod,16,Demokratski Narodni Savez,390,5,0,0,1,,
2008,Bosanski Brod / Brod,16,Socijaldemokratska Partija Bosne i Hercegovine,211,152,7,3,1,,
2008,Bosanski Brod / Brod,16,Demorkatski Pokret Srpske - Depos,344,0,1,0,1,,
2008,Bosanski Brod / Brod,16,Narodna Stranka Radom za Boljitak,278,44,2,2,1,,
2008,Bosanski Brod / Brod,16,Srpska Radikalna Stranka Republike Srpske,283,0,5,0,1,,
2008,Bosanski Brod / Brod,16,Narodna Demokratska Stranka,156,3,0,0,0,,
2008,Bosanski Brod / Brod,16,Penzionerska Stranka Republike Strpske,138,2,10,0,0,,
2008,Bosanski Brod / Brod,16,Srpska Radikalna Stranka Dr. Vojislav Seselj,147,0,0,0,0,,
2008,Bosanski Brod / Brod,16,E5 - Evropska Ekoloska Stranka,141,2,0,2,0,,
2008,Bosanski Brod / Brod,16,Savez SDA-S BiH,100,13,0,0,0,,
2008,Bosanski Brod / Brod,16,Marko Grabovac,82,1,3,0,0,,
2008,Odzak,17,Hrvatska Demokratska Zajednica 1990,2017,65,22,7,7,,
2008,Odzak,17,Stranka Demokratske Akcije,1527,50,12,3,6,,
2008,Odzak,17,Hrvatska Demokratska Zajednica 1990,1142,30,7,15,4,,
2008,Odzak,17,Narodna Stranka Radom za Boljitak,635,5,5,0,2,,
2008,Odzak,17,Socijaldemokratska Partija Bosne i Hercegovine,576,9,9,2,2,,
2008,Odzak,17,Stranka za Bosnu i Hercegovinu,554,15,3,2,2,,
2008,Odzak,17,Hrvatska Stranka Prava Bosne i Hercegovine - Dapic - Dr. Jurisic,470,5,7,1,2,,
2008,Odzak,17,HSS - NHI,174,11,0,0,0,,
2008,Odzak,17,BOSS - Bosanska Stranka - Mirnes Ajanovic,144,0,1,0,0,,
2008,Odzak,17,Demokratska Stranka Invalida Tuzla,46,0,1,0,0,,
2008,Somaljevac - Samac,20,Hrvatska Demokratska Zajednica 1990,808,8,0,9,5,,
2008,Somaljevac - Samac,20,Hrvatska Demokratska Zajednica BiH,561,25,0,1,3,,
2008,Somaljevac - Samac,20,HSS - NHI,147,18,0,1,1,,
2008,Somaljevac - Samac,20,Narodna Stranka Radom za Boljitak,11,2,0,0,1,,
2008,Somaljevac - Samac,20,Hrvatska Stranka Prava Bosne i Hercegovine - Dapic - Dr. Jurisic,156,4,0,0,1,,
2008,Somaljevac - Samac,20,Marko Lusic,62,0,0,0,0,,
2008,Bosanski Samac,21,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,2218,3,12,0,7,,
2008,Bosanski Samac,21,Srpska Demokratska Stranka,1946,1,13,0,6,,
2008,Bosanski Samac,21,Partija Demokratskog Progresa,964,0,2,0,3,,
2008,Bosanski Samac,21,Koalicija za Bolji Zivot - DNS i DS,853,0,1,0,3,,
