year,district.name,district.id,party,votes.in.municipality,votes.out.municipality,control sum,seats
1997,Modrica,24,Srpska Demokratska Stranka (Srpskih Zemalja),8628,319,8947,19
1997,Modrica,24,Srpska Patriotska Stranka - SPAS,121,3,124,0
1997,Modrica,24,HDZ BiH,6,1754,1760,4
1997,Modrica,24,Ujedinjena Posavska Obitelj U.P.O HRZ BiH,8,100,108,0
1997,Modrica,24,BOSS - Bosanska Stranka,8,20,28,0
1997,Modrica,24,Srpski Demokratski Savez RS,278,6,284,0
1997,Modrica,24,Narodna Radikalna Stranka Nikola Pasic,201,3,204,0
1997,Modrica,24,Demokratska Stranka RS,137,5,142,0
1997,Modrica,24,Srpski Otadzbinski Front - (SOF),12,1,13,0
1997,Modrica,24,Demokratski Preporod Srpske (DPS),107,9,116,0
1997,Modrica,24,Stranka Srpskog Jedinstva Republike Srpske (SSJ),254,18,272,0
1997,Modrica,24,Socijalno-liberalna Stranka RS (SLS),73,3,76,0
1997,Modrica,24,Srpska Seljacka Stranka,276,7,283,0
1997,Modrica,24,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,1716,70,1786,4
1997,Modrica,24,SRP BiH,2,11,13,0
1997,Modrica,24,Nezavisna Stranka Republike Srpske,37,6,43,0
1997,Modrica,24,Narodna Stranka R.S-e,28,2,30,0
1997,Modrica,24,SPD RS,78,4,82,0
1997,Modrica,24,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",30,3883,3913,8
1997,Modrica,24,Nastasic Nikola,36,9,45,0
1997,Modrica,24,Momir Jankovic,21,3,24,0
1997,Gradacac,25,SDP BiH,1750,129,1879,3
1997,Gradacac,25,HDZ BiH,545,524,1069,2
1997,Gradacac,25,BOSS - Bosanska Stranka,619,36,655,0
1997,Gradacac,25,"Zdruzena Lista '97 (UBSD, HSS BiH, MBO BiH, Republikanska Stranka i SPP BiH)",497,82,579,0
1997,Gradacac,25,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",15167,1678,16845,25
1997,Gradacac/Pelagicevo,26,Hrvatska Seljacka Stranka BiH/HSS BiH/Sarajevo,8,1154,1162,10
1997,Gradacac/Pelagicevo,26,Srpska Radikalna Stranka Republike Srpske,487,60,547,4
1997,Gradacac/Pelagicevo,26,Srpska Demokratska Stranka (Srpskih Zemalja),1667,104,1771,14
1997,Gradacac/Pelagicevo,26,Stranka Nezavisnih Socijaldemokrata,317,78,395,3
1997,Gradacac/Pelagicevo,26,Srpska Seljacka Stranka,178,6,184,2
1997,Gradacac/Pelagicevo,26,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,224,20,244,2
1997,Gradacac/Pelagicevo,26,SPD RS,13,8,21,0
1997,Brcko,28,Hrvatska Krscanska Demokratska Unija BiH. (HKDU BiH),25,177,202,0
1997,Brcko,28,SDP BiH,2149,2381,4530,7
1997,Brcko,28,Srpska Radikalna Stranka Republike Srpske,3745,299,4044,7
1997,Brcko,28,Srpska Demokratska Stranka (Srpskih Zemalja),9365,631,9996,17
